"LGA","Rank","Cause_of_death","Deaths","Per_cent_of_all_causes","Crude_rate","Age-standardised_rate_(per_100,000)","Rate_ratio_(relative_to_all_of_Australia)"
"Albury",1,"Coronary Heart Disease",225.2148,9.1755453,82.568593,55.807557,1.0293913
"Albury",2,"Stroke / Cerebrovascular Disease",182.2148,7.4236691,66.803867,42.856809,1.4423693
"Albury",3,"Dementia / Alzheimer's",174.60326,7.113565,64.013313,38.736952,0.9109887
"Albury",4,"Chronic Obstructive Pulmonary Disease",135.59497,5.5243165,49.712037,33.025862,1.4920665
"Albury",5,"Lung Cancer",103.23136,4.2057807,37.84684,27.927615,1.0185756
"Albury",6,"Heart Failure / Ill-defined Heart Disease",81.231363,3.309472,29.781167,18.191892,1.8185499
"Albury",7,"Colorectal Cancer",77.471009,3.1562702,28.40254,19.750931,1.1659749
"Albury",8,"Diabetes",72.239646,2.9431377,26.48461,20.469151,1.3096657
"Albury",9,"Unknown / Ill-defined Cancer",55.859469,2.2757878,20.479284,13.875381,1.4681796
"Albury",10,"Breast Cancer",53.991717,2.1996932,19.794526,14.612962,1.4300252
"Albury",11,"Prostate Cancer",50.479292,2.0565924,18.506795,11.978141,1.1262749
"Albury",12,"Other Ill-defined Causes",47.099115,1.9188795,17.26755,11.66769,1.5731008
"Albury",13,"Pancreatic Cancer",46.743788,1.904403,17.137279,12.368568,1.2126999
"Albury",14,"Suicide",42.983434,1.7512013,15.758652,15.82246,1.2546312
"Albury",15,"Influenza / Pneumonia",42.371894,1.7262864,15.534449,9.6496478,1.064188
"Albury",16,"Kidney Failure",40.495858,1.6498542,14.846654,9.2969593,1.2915363
"Albury",17,"Cardiac Arrhythmias",37.363611,1.5222424,13.698304,8.2749287,1.1649906
"Albury",18,"Liver Cancer",35.619823,1.4511982,13.058994,9.5636509,1.3888345
"Albury",19,"Leukaemia (C91–C95)",34.743788,1.4155073,12.737821,8.6506987,1.3960047
"Albury",20,"Liver disease (K70–K76)",34.115681,1.3899175,12.507543,10.818852,1.4972512
"Albury",NA,"Top 20 leading causes",1573.6687,64.11332,NA,NA,NA
"Albury",NA,"All causes",2454.5113,100,899.87669,622.01812,1.2109414
"Armidale Regional",1,"Coronary Heart Disease",124.08694,11.592095,84.057549,61.317724,1.1310284
"Armidale Regional",2,"Dementia / Alzheimer's",96.738729,9.0372489,65.531639,42.953209,1.0101437
"Armidale Regional",3,"Stroke / Cerebrovascular Disease",66.003737,6.1660123,44.711494,31.293004,1.0531831
"Armidale Regional",4,"Chronic Obstructive Pulmonary Disease",57.311132,5.3539567,38.823049,28.034585,1.2665669
"Armidale Regional",5,"Heart Failure / Ill-defined Heart Disease",46.099901,4.3066131,31.228466,19.971729,1.9964711
