"LGA","IRSD","IRSAD","IER","IEO"
"Albury",968,950,962,954
"Armidale Regional",980,976,955,1010
"Ballina",1015,996,1011,991
"Balranald",960,934,970,915
"Bathurst Regional",991,967,999,959
"Bayside (NSW)",1004,1044,966,1051
"Bega Valley",986,949,987,946
"Bellingen",981,960,983,985
"Berrigan",966,927,974,913
"Blacktown",987,1006,1020,993
"Bland",993,958,1001,939
"Blayney",991,962,1020,942
"Blue Mountains",1048,1042,1039,1063
"Bogan",966,948,989,936
"Bourke",947,954,947,980
"Brewarrina",818,866,789,917
"Broken Hill",913,892,919,887
"Burwood",977,1050,926,1082
"Byron",1021,1027,1009,1052
"Cabonne",1023,995,1044,975
"Camden",1045,1050,1098,1002
"Campbelltown (NSW)",947,952,981,949
"Canada Bay",1067,1116,1021,1123
"Canterbury-Bankstown",917,966,949,996
"Carrathool",973,953,980,941
"Central Coast (NSW)",994,978,1005,967
"Central Darling",827,869,853,929
"Cessnock",939,908,984,876
"Clarence Valley",940,910,963,901
"Cobar",965,937,977,904
"Coffs Harbour",972,954,982,953
"Coolamon",983,951,1006,941
"Coonamble",883,893,922,919
"Cootamundra-Gundagai Regional",953,926,965,918
"Cowra",932,908,950,908
"Cumberland",904,961,931,995
"Dubbo Regional",985,958,988,944
"Dungog",1009,974,1040,945
"Edward River",966,939,971,935
"Eurobodalla",985,946,983,941
"Fairfield",814,885,937,919
"Federation",969,925,976,897
"Forbes",969,941,977,938
"Georges River",1011,1048,999,1060
"Gilgandra",930,913,955,923
"Glen Innes Severn",906,891,929,907
"Goulburn Mulwaree",972,945,985,926
"Greater Hume Shire",999,964,1018,956
"Griffith",974,950,985,920
"Gunnedah",967,940,989,909
"Gwydir",957,936,978,947
"Hawkesbury",1026,1008,1056,969
"Hay",956,926,950,903
"Hilltops",954,929,974,927
"Hornsby",1082,1116,1082,1121
"Hunters Hill",1101,1156,1088,1163
"Inner West",1057,1118,993,1141
"Inverell",928,906,950,899
"Junee",934,918,977,904
"Kempsey",903,881,943,882
"Kiama",1070,1061,1062,1058
"Ku-ring-gai",1108,1165,1117,1174
"Kyogle",921,906,950,929
"Lachlan",950,936,957,944
"Lake Macquarie",1004,981,1011,963
"Lane Cove",1105,1162,1058,1180
"Leeton",949,922,979,896
"Lismore",966,945,970,959
"Lithgow",935,912,960,889
"Liverpool",931,968,999,976
"Liverpool Plains",926,905,951,896
"Lockhart",976,950,1002,961
"Maitland",988,963,1015,934
"Mid-Coast",943,912,963,905
"Mid-Western Regional",979,949,1002,919
"Moree Plains",940,932,946,927
"Mosman",1110,1169,1065,1185
"Murray River",998,965,1007,940
"Murrumbidgee",983,951,988,937
"Muswellbrook",937,908,972,862
"Nambucca Valley",920,898,946,906
"Narrabri",964,936,975,912
"Narrandera",929,910,950,907
"Narromine",958,934,980,929
"Newcastle",1012,1012,976,1023
"North Sydney",1096,1164,985,1193
"Northern Beaches",1089,1125,1087,1109
"Oberon",978,948,1007,928
"Orange",997,979,994,972
"Parkes",946,922,959,914
"Parramatta",1029,1070,983,1097
"Penrith",991,981,1015,949
"Port Macquarie-Hastings",985,958,991,954
"Port Stephens",982,952,1004,928
"Queanbeyan-Palerang Regional",1061,1062,1061,1046
"Randwick",1059,1113,995,1122
"Richmond Valley",924,892,961,871
"Ryde",1055,1099,1007,1120
"Shellharbour",983,962,1014,928
"Shoalhaven",980,949,992,939
"Singleton",998,965,1032,906
"Snowy Monaro Regional",1020,991,1006,973
"Snowy Valleys",952,923,976,908
"Strathfield",1011,1066,961,1098
"Sutherland Shire",1079,1090,1078,1064
"Sydney",1031,1126,887,1158
"Tamworth Regional",961,937,976,923
"Temora",972,939,980,924
"Tenterfield",920,903,935,925
"The Hills Shire",1098,1136,1132,1112
"Tweed",989,967,995,960
"Upper Hunter Shire",975,943,999,912
"Upper Lachlan Shire",1022,995,1038,988
"Uralla",990,963,1002,977
"Wagga Wagga",989,971,988,970
"Walcha",992,970,999,978
"Walgett",888,896,899,928
"Warren",962,952,973,955
"Warrumbungle Shire",927,914,952,929
"Waverley",1092,1163,1009,1170
"Weddin",961,942,978,951
"Wentworth",974,949,989,941
"Willoughby",1075,1142,1034,1162
"Wingecarribee",1045,1031,1055,1020
"Wollondilly",1041,1020,1093,960
"Wollongong",1000,1000,993,999
"Woollahra",1110,1176,1043,1193
"Yass Valley",1065,1062,1094,1047
"Unincorporated NSW",1046,1025,1034,1000
"Alpine",1028,989,1006,993
"Ararat",955,932,964,934
"Ballarat",986,965,971,978
"Banyule",1058,1064,1030,1079
"Bass Coast",993,957,992,962
"Baw Baw",1003,971,1020,960
"Bayside (Vic.)",1090,1127,1075,1137
"Benalla",968,938,973,942
"Boroondara",1090,1131,1054,1153
"Brimbank",912,928,961,940
"Buloke",975,946,966,958
"Campaspe",965,932,980,921
"Cardinia",1021,993,1044,975
"Casey",995,986,1038,978
"Central Goldfields",898,867,921,871
"Colac Otway",973,938,984,925
"Corangamite",985,955,998,948
"Darebin",1018,1044,969,1075
"East Gippsland",963,931,970,932
"Frankston",1003,982,1003,981
"Gannawarra",952,919,964,912
"Glen Eira",1075,1103,1027,1122
"Glenelg",952,919,970,911
"Golden Plains",1040,997,1076,965
"Greater Bendigo",985,959,984,964
"Greater Dandenong",887,918,943,943
"Greater Geelong",1007,990,997,993
"Greater Shepparton",944,931,965,941
"Hepburn",1006,984,1001,1008
"Hindmarsh",940,923,959,932
"Hobsons Bay",1021,1034,1003,1043
"Horsham",990,959,974,955
"Hume",941,949,1004,958
"Indigo",1029,996,1031,993
"Kingston (Vic.)",1044,1048,1026,1051
"Knox",1042,1029,1041,1021
"Latrobe (Vic.)",931,907,942,899
"Loddon",948,925,966,942
"Macedon Ranges",1063,1047,1077,1039
"Manningham",1056,1075,1059,1080
"Mansfield",1028,989,1023,982
"Maribyrnong",1010,1045,963,1076
